created_at,favorite_count,retweet_count,text
2021-08-06 06:35:42,2683,1311,"I am thrilled to announce that the Social NFT platform @DeFinePlatform will be coming on @Tronfoundation! Meanwhile, #TRON and @apenftorg will cooperate with #DeFine for sourcing valuable NFTs in the global marketplace.  https://t.co/fR6sMS7tsw"
2021-08-05 02:28:58,2658,1434,"🏆 According to the @CryptoRank_io, #TRON aid the ecosystem of the month!

💪 Let’s go! Hard work always pays off! https://t.co/hQnEZ9cj3m"
2021-08-04 07:02:15,3175,1466,"📢 #Binance has completed the second round of APENFT (#NFT) airdrop to @Tronfoundation(#TRX), @BitTorrent(#BTT), and @DeFi_JUST(#JST) holders.

🧐 More details here 👇
https://t.co/u2IA7I5GAv"
2021-08-03 16:18:44,2748,1343,#USDC on #TRON is now live on https://t.co/nWYzGk0WDi ! #USDT #USDJ #TUSD
2021-08-03 02:35:58,3205,1525,#BitTorrent https://t.co/uSre7pBega
2021-07-30 13:36:02,654,91,"(3/3) Never forget your original intentions, so you can always continue. We will explore the bright journey together. Following this era, let us ride the wind and waves together and create brilliance together!"
2021-07-30 13:36:02,709,88,"(2/3) Because of you, #TRON can turn everything into a reality. You make #TRON stronger, better, popular and growing with the unbelievable speed."
2021-07-30 13:36:01,5660,1452,"(1/3) Today is my birthday and the 9th year of starting my entrepreneurship career. On this particular day, I sincerely thank every #TRON community member , developer and partner who supports #TRON. https://t.co/grVu3atMsE"
2021-07-29 13:22:03,2638,1288,"I’m happy to announce I’ll be joining @virtue_poker Charity Celebrity Event  alongside HOF poker player @philivey, @binance founder @cz_binance, Ethereum Co-Founder @ethereumJoseph, NBA HOF @paulpierce34, @Mrbeast, and more. https://t.co/JHvko4p2gT"
2021-07-29 11:40:36,2730,1422,Wow! https://t.co/3nrboLEXqG
2021-07-29 10:50:36,2618,1324,🤩 Over 9 Million transactions a day! #TRON https://t.co/mD3OcGYpWx
2021-07-29 06:39:16,2731,1342,"💪 Setting new records every day!

🎯 1 million per day is coming soon! Mark my words! https://t.co/iLE88SJYAO"
2021-07-29 01:19:58,2747,1464,"📈 #WIN-#BNB will go from a 1x multiple to a 2x multiple, which will last for 7 days on @PancakeSwap!

💰 You get a new $WIN Syrup Pool worth $1M USD!

VOTE HERE: https://t.co/i2fUkf3weq https://t.co/cSQ96G1RxX"
2021-07-28 01:34:42,3121,1391,"I am thrilled to announce that we have collaborated with Chinese Academy of Governance, which is a prestigious research institution in China and we will continue to support more. Currently I have no plan to retire. https://t.co/IzRuCJOIrv"
2021-07-27 10:55:59,500,83,"@CoinDesk @egreechee I am thrilled to announce that we have collaborated with Chinese Academy of Governance, which is a prestigious research institution in China and we will continue to support more. Currently I have no plan to retire."
2021-07-26 06:21:20,441,63,"(3/3) With the proposal going into effect, it will effectively suppress the number of low-value #TRC10 transactions and reduce their harm, ensure the security and reliability of the #TRON network."
2021-07-26 06:21:20,384,50,(2/3) The main content of the No. 67 voting request is to increase the bandwidth unit price and system contract creation account fees to curb the growth rate of low-value #TRC10 transactions.
2021-07-26 06:21:19,2632,1334,"(1/3) The No. 67 voting request (#3 Proposal and #7 Proposal) of the #TRON network was officially approved at 14:00 (Singapore time) on July 26, 2021."
2021-07-26 03:39:28,3378,1619,"🟢🟢🟢 ALL GREEN!  🟢🟢🟢

@Tronfoundation #TRX 
@BitTorrent  #BTT 
@WinkLink_Oracle #WIN 
@DeFi_JUST #JST 
@apenftorg #NFT 
@defi_sunio #SUN https://t.co/sRUKQGJShQ"
2021-07-26 03:26:50,2720,1342,"🌞 https://t.co/rJYHv3aogO is the first integrated platform for stablecoin swap, stake-mining, and self-governance on #TRON

🔥 Total Value Locked over $620 Million!
🚀#SUN-#TRX LP (II pool) Staking APY over 145%

🏆 Multiple staking options for you to unlock more rewards! https://t.co/1wVnINlIQ5"
2021-07-25 10:24:45,4150,1488,"I’m thrilled to announce @apenftorg and @WinkLink_Oracle officially enter Gamefi and NFTfi. I believe the future is in Gamefi, which will be the next mega trend. We’ll go all-in on this new blue ocean. APENFT and WINkLink will work together. New excitements are certain to come!"
2021-07-25 03:39:20,2612,1401,"Digital transformation is more than just getting the right technology in place. 

It’s taking the projects to new heights and moving quickly, addressing and facilitating the latest and trendy products in the market.

#TRON #TRX https://t.co/AmhK0LZ7O5"
2021-07-24 17:11:34,4051,1472,GameFi on #TRON
2021-07-23 15:28:26,2839,1124,Some DeFi projects on #Tron apparently have quietly beaten their peers on Polygon and Ethereum. @defi_sunio @DeFi_JUST https://t.co/M7l4oZP8Rw
2021-07-23 07:03:23,2546,1132,Nice! https://t.co/Vej7m9y84z
2021-07-23 07:01:20,2173,1021,🤯 https://t.co/3s8U6fPOhf
2021-07-23 07:00:14,6176,1395,"#TRX and #ETH , which one do you prefer? 😆"
2021-07-21 02:16:17,3006,1311,"📈 #TRON ecosystem is growing every day, and it is getting more and more support from the community.

🏆 #TRON is the fastest-growing public chain that aims to build a decentralized Internet. Join our ecosystem now!

#TRX #BTT #WIN https://t.co/RE1BCBpkPG"
2021-07-20 05:00:22,2238,1059,"⛏ New Mining 💰 New Higher Returns

Join #JustSwap new round of staking-mining for mega #TRON-token rewards @DeFi_JUST 

🔥 #NFT #USDC #TRC20-#ETH highest APY! Don’t miss the chance! https://t.co/QUZZJ1QCwz"
2021-07-20 04:49:49,2397,1050,#NFT 🔥 https://t.co/rLrVEYoAFG
2021-07-18 04:04:42,2585,1980,"📢Great news for all #TRONICS!

🔥#TRON come back to @PancakeSwap Syrup Pool!

🤗Stake $CAKE to earn $TRX. A new TRX Syrup Pool with $1M of tokens is ready for you!!!

⚒️Stake #TRX-#BNB to earn #CAKE on @PancakeSwap farm. You can gain 2x multiple rewards for the 1st week! https://t.co/NY5BbxqigN"
2021-07-16 22:55:35,2157,1006,Crazy auction with a lot of unexpected competition…great to see artists like #CaiGuoQiang coming into the NFT space! @trlab_ https://t.co/LAPLdAwpMn
2021-07-16 13:59:55,2074,1009,Crazy auction with a lot of unexpected competition…great to see artists like #CaiGuoQiang cominginto the NFT space! @trlab_ https://t.co/LAPLdAeOnN
2021-07-15 17:01:36,2372,1131,"📢 Great news for all #TRONICS!

🔥 #TRON is back to @PancakeSwap Syrup Pool!

🤗 Stake $CAKE to earn $TRX. A new TRX Syrup Pool with $1M of tokens is ready for you!!!

🙏 Cast your vote NOW! https://t.co/sW4oTRySpE"
2021-07-15 16:15:04,2645,1018,#TUSD 😜
2021-07-15 14:15:45,2749,1065,"I’m glad to share my thoughts at the panel, discussing how NFTs change the art world. I believe the future of the art market belongs to NFT pioneer artists. The unprecedented connection between blockchain and art is reshaping the art world.@ChristiesInc @Tronfoundation @apenftorg"
2021-07-15 06:46:31,2224,1064,Over 87% of #SUNOLD has been burned! #SUN https://t.co/j8zDPi4ooQ
2021-07-15 00:37:56,2406,1030,"I am excited to participate in the @ChristiesInc Art+Tech Summit that focuses on NFTs. I look forward to offering a comprehensive vision of the impact of NFT, which is backed by the underlying technology of top-notch blockchains, on the art world of today and beyond. @apenftorg https://t.co/tUHK6A9eLg"
2021-07-15 00:36:07,2195,964,See you soon. https://t.co/VWrtBBA0tb
2021-07-14 13:30:11,2281,1073,You are welcome! It is my pleasure! 👏 #TRON #christiesarttech2021 https://t.co/YyBpKJqbVQ
2021-07-14 13:29:49,2026,951,Get to grips with the technology shaping the future of the art market. @ChristiesInc @Tronfoundation @apenftorg https://t.co/MTpKDApsD4
2021-07-14 12:46:48,150,20,"(3/3)💰 During the #GovernanceMining, more than 2.9 billion $SUN will be distributed to the participants in the next 4-year-3-month.
 
⚒️ Users can also join the #SUN Stake Pool &amp; #SUN Stake &amp; Lock Pool to get more rewards.
 
👉 Join the 0-loss Stablecoin Mining"
2021-07-14 12:46:48,150,22,"(2/3) ⚒️ #SUNGovernanceMining initial liquidity pools include 3Pool LP &amp; #SUN-#TRX LP; in the future, more liquidity pools for mining will be available. Stay tuned!
 
👥 Users can decide the weights of liquidity, etc., via Governance voting.
 
Details: https://t.co/XXe5NZ3WdN"
2021-07-14 12:46:47,2023,1017,"(1/3)☀️ Since launching into the Comprehensive https://t.co/rJYHv3aogO Upgrade journey on May 26th, #SUNGenesisMining has received enormous attention and active participation from users all over the world! 🌏
 
🎉 Now, https://t.co/rJYHv3aogO #GovernanceMining is LIVE! https://t.co/puHUUMvdpk"
2021-07-14 12:19:33,2241,1056,"What an extraordinary work, I am gonna bid this!! @trlab_ @apenftorg #CaiGuoQiang https://t.co/0DL84rifI0"
2021-07-14 09:55:01,2233,983,"With staking rewards available on @eToro for #TRON, investors are now able to reap rewards for holding these assets long term which is helping to drive demand.

#TRX #TronNetwork https://t.co/Jn6TSyF47c"
2021-07-14 08:14:29,2077,979,#JST https://t.co/3xjtLlTMUT
2021-07-14 02:53:44,2891,1157,50 Million soon! #TRON #TronNetwork https://t.co/HsMCfe3HXn
2021-07-13 16:50:21,2259,998,https://t.co/OE3UOaRzZN total 3pool (#USDT/ #TUSD / #USDJ) value lock-up has increased to $601 million. #USDC on #TRON will be added to https://t.co/OE3UOaRzZN soon! https://t.co/JKDbFqEqQR
2021-07-13 08:03:24,2185,974,"📢 Last week on @TRONSCAN_ORG:

✅ Added the metric of #TRON TVL and a detailed page to the homepage

✅ Improved the loading speed of the account page

✅ Improved users’ experience of reading contracts on the contract page https://t.co/ipBWpRsQzd"
2021-07-13 01:58:37,2618,1197,"🎊Total Value Locked(TVL) in #TRON  #DeFi Equals $7.76 Billion according to @CryptoRank_io data!

🤗All the projects are welcome to join #TronNetwork and build #TRON DeFi ecosystem even stronger! https://t.co/qdC8AipXvI"
2021-07-12 05:18:09,322,39,"#TRON #TRX, in particular, saw impressive gains, with a 163% increase in global users holding the asset in Q2 compared to Q1 of this year

https://t.co/PhtRaX8d1F"
2021-07-12 05:18:08,2275,1062,"@eToro released a quarterly report that focuses on the crypto market’s progression over Q1 2020.

Comparing with Q2 2020, #TRX has moved up the ranking from 13th to 6th place! #TRON Community is getting stronger and stronger! https://t.co/JzYqXgO9bB"
2021-07-12 04:49:52,2950,1224,"#TRX #BTT #WIN 

#BinanceSmartChain https://t.co/ZZSWuJ4b12"
2021-07-12 04:06:05,2053,1062,"😎 The new https://t.co/rJYHv3aogO website makes it easier for you to check on the TVL data of the #SUN platform!

💬 If you want to see more features implemented on the @defi_sunio website, let me know in the comments! https://t.co/kKVIJx9PzY"
2021-07-12 04:01:17,2381,1057,"The #DeFi ecosystem on #TRON blockchain is growing every day and getting more and more support from the community!

$5.7 Billion! Keep up the great work, @DeFi_JUST!

#JustDeFi #JustSwap #JustLend #JustStable https://t.co/vZyrlTaQbO"
2021-07-11 10:21:43,1154,78,@cz_binance Huge congrats! 😆
2021-07-10 13:37:46,2857,1077,Current #USDC-#TRX LP mining APY is 236%. You can get USDC-TRC20 on @Poloniex 😍 https://t.co/7rIqcuzPZR
2021-07-10 07:39:34,2856,1182,PASSED. #APENFT #NFT https://t.co/RrKQQrs4Fn
2021-07-09 12:21:36,26,2,@travalacom 😆
2021-07-08 14:38:55,3612,1218,"It is a pleasure to be photographed today with the Picasso painting ""Femme nue couchée au collier (Marie-Thérèse), 1932"" in the @apenftorg collection. We will continue to invest in and provide the public with an opportunity to access the world's finest art #NFT on #TRON! #APENFT https://t.co/uJAbUEUglg"
2021-07-08 03:47:07,2721,1092,"🤗To celebrate the 4th anniversary of @binance, #TRON has supported #TRX token as ultimate prize pool for the giveaway!

Complete the tasks to win your share of the prize pool.

📅 2021-07-08 0:00 AM to 2021-07-14 11:59 PM (UTC)

🎂Happy 4th anniversary.
https://t.co/SHC9JYE99h"
2021-07-07 06:24:43,5457,1493,10 million transactions per day on #TRON is coming! Guess when? #TRX
2021-07-06 04:03:03,2851,1084,#TRX #NFT https://t.co/s9MrLR5g9H
2021-07-05 14:28:12,2699,1091,"#TRX / #USDC pair is now available on Justswap! 
https://t.co/PTR9QiQJxt"
2021-07-05 07:09:30,3562,1143,Happy 4th of July! 🇺🇸
2021-07-04 17:38:58,4165,1168,.@elonmusk 👍 https://t.co/wszIRMoCVH
2021-07-04 04:43:42,2782,1036,"🎉My Weibo account followers exceeded 1 million. 

🔥Boasting over 44 million accounts and 2.1 billion transactions, #TRON is the world's fastest-growing public chain.

🤗Thanks to all the #TRONICS. https://t.co/qkbIL7WkQb"
2021-07-03 13:27:47,3755,1351,"BitTorrent, utorrent, BitTorrent Speed. #BitTorrent #BTT https://t.co/YRkX73SpoQ"
2021-07-03 11:55:51,2476,1036,BEP20-#BNB #BSC is live on Poloniex! @binance https://t.co/vE6weySdtz
2021-07-03 11:55:00,2292,1050,USDC on #TRON is live now! #USDC https://t.co/yeFu6ntb6J
2021-07-03 08:01:45,146,25,@balajis BitTorrent? utorrent? BitTorrent Speed?
2021-07-02 15:43:29,297,65,"(3/3)
👉 https://t.co/Rq1L5E0LY8

#JustSwap $1,477,344,441
#JustLend $1,247,338,258
#JustStable $1,121,903,256
@defi_sunio 2.0 $939,573,148
#SUN 1.0 $1,926,558
Total $TRX Frozen $2,030,621,291
@DeFi_JUST Cryptos $1,004,182,360

✅ Check @TRONSCAN_ORG for more data about #TRON https://t.co/jBTEce46oB"
2021-07-02 15:43:27,278,44,"(2/3) 🎉 #TRON TVL (Total Value Locked) Inquiry Function Now Live!

👉 https://t.co/Rq1L5E0LY8

ℹ️ @TRONSCAN_ORG is the first block explorer based on #TRON. It not only includes some basic functions of the block explorer but also directly supports token creation. https://t.co/wEcvfURI5d"
2021-07-02 15:43:26,2490,1079,"(1/3)🤩As of 23:00, July 2, 2021 (HKT) #TronNetwork #TVL equals 7.8 Billion USD!

🎉#TRON TVL(Total Value Locked) Inquiry Function Now Live.

🤗Welcome to experience and find your valuable data in one click on @TRONSCAN_ORG🖱️

🛠️#DeFi on #TRON growing fast! https://t.co/EP48NwdaIx"
2021-07-02 10:20:30,471,78,"(2/2)🔥#TRON is known to have many successful cases of #stablecoin issuance, with TRC20-USDT as the most widely known case; the steady increase of #TRC20-#USDT circulation supply and unique addresses are adequate proof of the demand for stablecoins."
2021-07-02 10:20:29,2757,1125,"(1/2)👇Check out the Current Circulation of four Stablecoins On #TRON

#TRC20-#USDT 31.99+ billion
#TRC20-#TUSD 322+ million
#TRC20-#USDJ 269+ million
#TRC20-#USDC 108+ million
Stablecoins will continue to play an important role and thrive in the crypto market. https://t.co/uVe2weOktJ"
2021-07-01 15:21:16,3050,1159,USDC on #TRON page is now live!  https://t.co/TpCEo43HGy
2021-07-01 04:14:32,4706,1177,"🎉The circulation amount of #TRC20-#USDC issued by @centre_io on the #TRON network exceeded 100 Million.

💁‍♂️Relying on #TRON fast transfer speed, lower fee and rich stablecoin ecosystem, #TRC20-#USDC will become another option for many users, developers and institutions.🙌 https://t.co/EG2MKyZTwC"
2021-07-01 03:43:36,2508,1078,"📢USD Coin #USDC already launched on #TRON blockchain, current circulation already exceeds 100M $USDC.

💁‍♂️Smart Contract: https://t.co/Uk5ec1hKJg

🔥 $USDC is a fully collateralized US Dollar stablecoin developed by CENTRE. https://t.co/BVa7h1S2ol"
2021-06-30 19:01:57,2783,1071,"Huge congratulations to @Fewocious and @apenftorg , Really looking forward to seeing you in Hong Kong 😄 #APENFT #NFT https://t.co/tePYW8Zbmf"
2021-06-30 18:46:37,75,6,@Twitter I want Furry Twitter! So cute! 😜
2021-06-30 15:46:44,2562,1102,https://t.co/dQixKVlbrI
2021-06-30 09:07:57,2523,1020,https://t.co/KYmfgtZVJ8
2021-06-30 06:56:48,5242,1467,#WinkLink
2021-06-30 06:46:01,2470,1107,Glad to see #USDC on #TRON. https://t.co/6J7nEpq21z
2021-06-30 06:36:20,689,53,@cz_binance @ShaniNiazi786 @binance @Tronfoundation Fully agreed! 👏
2021-06-30 03:15:01,624,83,"(2/2)🚀#Stablecoins will continue to play an important role and thrive in the cryptocurrency market, and #TRC20-#USDC’s roadmap and development on #TRON is most definitely something to keep an eye on!"
2021-06-30 03:15:00,2739,1114,"(1/2)🤩Breaking news!
 
🙌Excited to announce that @centre_io #USDC will become available on #TRON.
 
🔥 $USDC, the world's leading digital dollar stablecoin brought by @circlepay &amp; @coinbase, creating possibilities in payments, lending, investing, trading and trade finance. https://t.co/6J7nEp8ra1"
2021-06-29 04:42:37,3680,1209,New design for #BTFS scan. #BitTorrent #BTT  https://t.co/y4OHcB3ZiP
2021-06-28 11:30:32,2557,1147,"🎉Congrats on the sold of the Three Self-Portraits reaction series ""Vitality"" 

🤩People's enthusiasm for @Tronfoundation  X @apenftorg X @TheBinanceNFT Genesis auction is unstoppable.

👇The third series ""Harmony"" now enters the 24-hour countdown. Don't miss it.
#TRON #APENFT https://t.co/2yQLpMGQef"
2021-06-28 09:57:11,2809,1124,Are you for it? @apenftorg #APENFT #NFT https://t.co/EgyyrdjkIh https://t.co/FXj4j7u4ag
2021-06-26 07:00:04,370,37,@HuobiGlobal #TRX 😉
2021-06-25 14:29:47,3530,1301,"✊In 2018, #TRON moved off #Ethereum as an #ERC20 token, launched the #TRON mainnet &amp; generated the first genesis block.

💪Boasting over 41 M accounts &amp; 2 B transactions, TRON is the world's fastest-growing public chain.

🎊Happy three-year anniversary of #TRON #Independenceday. https://t.co/mYd18l8W4P"
2021-06-25 14:12:56,3407,1181,#TRC20USDT #Tether #USDTether
2021-06-25 14:06:39,4820,1146,#tether
2021-06-25 08:48:14,848,71,@nayibbukele Green #Bitcoin
2021-06-25 08:47:31,2438,1009,My answer is #NFT 😊 @apenftorg https://t.co/BufIHDCUk4
2021-06-24 15:39:56,4163,1270,RIP @officialmcafee.
2021-06-24 10:39:48,2551,1081,https://t.co/OE3UOazYBd has the best rate for stablecoin staking in #Defi. #USDT/#USDJ/#TUSD staking pool for 33% APY and #SUN/ #TRX staking pool APY 133%. All supported by major exchanges in the world. https://t.co/YLIjyhVTLN
2021-06-24 10:17:15,2474,1055,🧐 https://t.co/DtRDNCcdnL
2021-06-24 10:14:59,2108,1024,200k #TUSD to win! @tusd_official @TrustToken https://t.co/PsqvcZfMdi
2021-06-24 10:14:26,2058,977,Live now! https://t.co/FKmDVwPX9z
2021-06-24 10:12:19,2650,1070,First Andy Warhol #NFT from @apenftorg bid is happening now on @TheBinanceNFT with a price of $2.52 million. @binance #Binance #BSC #APENFT #TRON https://t.co/WHUJ9xVQEY
2021-06-24 09:43:53,2165,1045,"😆Great autotune remix video「NEVER SHUT DOWN」inspired by #APENFT community members.

🙌Hope #TRONICS love it, please stay tuned on #APENFT X #BinanceNFT X #TRON Genesis Auction for more details. @TheBinanceNFT @Tronfoundation https://t.co/JuTggqsgCr"
2021-06-24 09:43:15,2244,1015,"📢#APENFT X #BinanceNFT X #TRON Genesis Auction Will Start in 20 minutes.

🥳Please get ready. https://t.co/AvDlu7fSjI"
2021-06-23 10:52:02,3265,1144,In 24 hours! #Binance #BSC #TRON #APENFT #NFT https://t.co/zJxsGzsmLJ
2021-06-23 05:01:54,2305,1834,"📢Governance vote on the #APENFT platform is live.

🤗Welcome to cast your vote at https://t.co/o5lZFHYuIK 

❓Are you in favour of the auction of Andy Warhol's Three Self-Portraits on @TheBinanceNFT?🤔 https://t.co/qugQvQkGWN"
2021-06-22 13:50:10,21134,3603,I am buying!
2021-06-22 13:48:00,2423,1000,https://t.co/tn6ODgK1ZN
2021-06-22 12:27:10,272,36,(2/2)👇BEP20 #APENFT(NFT) address: https://t.co/mhFKhSK1v3
2021-06-22 12:27:09,2801,1166,"(1/2)📢#Binance has completed the first round of APENFT(#NFT) airdrop to @Tronfoundation (#TRX), @BitTorrent (#BTT), and @DeFi_JUST (#JST) holders.

👏#BEP20 TRX/BTT/JST holders on @binance could also receive the airdrop.

👇More details here: https://t.co/3ycTz940EH"
2021-06-21 16:09:44,2351,1085,Genesis #APENFT Auction on @TheBinanceNFT! #APENFT #NFT #TRON #Binance https://t.co/o7KVOCd5vW
2021-06-21 16:08:00,2695,1085,Let's do it! #APENFT @apenftorg @TheBinanceNFT #Binance #NFT https://t.co/MHTKO3taZu
2021-06-21 07:26:30,499,64,"(2/2)🎨As a supporter of the arts and innovation of all kinds, this year I have won works by @beeple, #AndyWarhol, #Picasso, and more great artists, and have made them into #NFTs, and look forward to further bridge art and blockchain!🚀"
2021-06-21 07:26:30,2684,1090,"(1/2)🎉Happy to share I’m adding the amazing ""Untitled (KIMPSONS)"" from the 2001 ""Packaging Painting"" series by artist #KAWS (Brian Donnelly) to my collection, won at the #JayChou @Sothebys ""Contemporary Curated: Asia"" auction with a winning bid of HKD 2.5 million on June 18!🖼️ https://t.co/HZgLTzgCV2"
2021-06-18 15:04:15,3095,1172,"📢According to @coinmetrics, the circulation amount of #TRC20-#USDT is ahead of #OMNI-#USDT and #ERC20-#USDT!

🤗Welcome to use #TRC20-#USDT to enjoy immediate transactions, free handling fee, different use cases such as trading, #TRON #Dapp, #BitTorrent &amp; more. https://t.co/tGUa61ciJV"
2021-06-18 07:36:04,6408,1479,#NFT
2021-06-17 11:15:41,3019,1192,https://t.co/OE3UOazYBd has stablecoin mining APR for 42.36%! #SUN🌞 supporting #USDT #TUSD #USDJ on #TRON. https://t.co/T7dzIbg1R5
2021-06-17 05:19:55,3374,2009,"🔥Another milestone for #TRON and #TRONICS.

📢According to @TRONSCAN_ORG, #TRON total accounts exceeded 40 Million🚀

💪This incredible growth shows #TRON is the world’s fastest-growing public chain. 

🙌Thanks for all the support from #TRON community and #TRONICS. https://t.co/Y8KkjqbcM1"
2021-06-16 09:23:18,2860,1098,The Three Self-Portraits by Andy Warhol have been signed by @apenftorg. They told me they’re gonna take the paintings to an interesting event. 🤔 https://t.co/doWGsiaMVh
2021-06-14 13:32:57,3685,1412,"📢According to @TRONSCAN_ORG, #TRON total transactions have exceeded 2 Billion.

🚀Boasting over 39 million accounts and 2 billion transactions, TRON is the world’s fastest-growing public chain.

🥳Thanks for all the supports from #TRONICS.
#TRX $TRX https://t.co/wWo49bxmEa"
2021-06-12 08:14:16,9641,1925,Who should I contact to set up an office in El Salvador? We have numerous mining companies &amp; exchanges lining up for this! #Bitcoin #TRON  @nayibbukele 🇸🇻
2021-06-12 05:46:00,13162,2842,#Bitcoin https://t.co/YfhMcAXZTk
2021-06-11 15:12:51,3141,1263,"⚒️#JustSwap NEW mining integration now live &amp; going strong!🚀
 
🔥USDT-TRX LP pool APY Over 1058%!
🔥USDJ-TRX LP pool APY Over 1047%!
🔥TUSD-TRX LP pool APY Over 1034%!
🔥BTC-TRX LP pool APY Over 1058%!
🔥WIN-TRX LP pool APY Over 1612%!
 
⚒️ MINE &amp; EARN at https://t.co/Y2sDxbLmiR https://t.co/ceXwD4OypG"
2021-06-11 13:07:11,2679,1161,"🗣️#JustSwap &amp; #JustLend NEW mining integration Now LIVE!🔥

Join single token mining at https://t.co/AzvfhEjc3G and LP pool mining at https://t.co/Y2sDxbLmiR🚀

⚒️Mine &amp; earn double rewards from new mining integrations on @DeFi_JUST ecosystem!

Details👇
https://t.co/njycsCOWZV https://t.co/rut9UzIAiJ"
2021-06-11 08:40:34,417,67,"(2/2)⚒️Get ready for @DeFi_JUST single token &amp; LP pool mining with ultra-high rewards💰
👇👇👇
https://t.co/FoWPrTwU1K"
2021-06-11 08:40:34,2625,1049,"(1/2)🎬That’s a wrap for #TRONCenturyMining, but also the beginning for something really exciting! 😎
 
🚀 #JustLend &amp; #JustSwap will launch an integrated single token mining &amp; LP pool mining! @DeFi_JUST 🔥
 
🗓️ 21:00 (SGT) June 11th, 2021- 21:00 (SGT) July 9th, 2021"
2021-06-10 13:46:03,3597,1312,Justin Sun: NEW &amp; UPGRADED SUN PLATFORM https://t.co/rB6hPv5rpM
2021-06-10 09:34:25,2949,1095,When 2 B? #TUSD #TRON https://t.co/IBlxAr7FM5
2021-06-09 15:00:16,3140,1084,"4,666,218 old #SUN 🌞(over 23.447%) token has been burned. 
https://t.co/dqjhqjDqVg"
2021-06-09 07:19:54,26,4,@rleshner How you count #NFT? Crypto or not...
2021-06-09 07:13:48,3144,1186,Thank you @BitcoinMagazine for this amazing article and I'm proud to have been interviewed by you!  Shout out to @NFT_glee @Blockstream @TheBitcoinConf for making this happen! #Bitcoin https://t.co/D8VIRTTMb3
2021-06-09 07:12:17,2525,1019,Thank you @BitcoinMagazine for this amazing article and I'm proud to have been interviewed by you!  Shout out to @NFT_glee @Blockstream @TheBitcoinConf for making this happen! #Bitcoin https://t.co/ULSMjW6nIK
2021-06-09 06:42:55,14922,2654,I am now a proud holder of EI Salvador's legal tender. I join tens of millions of people now holding EI Salvador's legal tender. #Bitcoin
2021-06-09 06:32:23,5002,1473,#Bitcoin ! https://t.co/XWVr1wDRtx
